Unnamed: 0,image1,image2,label
0,1_001_1_01.png,1_001_1_02.png,1
1,1_001_1_03.png,1_001_1_04.png,1
2,1_001_1_05.png,1_001_2_06.png,1
3,1_001_2_07.png,1_001_2_08.png,1
4,1_001_2_09.png,1_001_2_10.png,1
5,1_002_1_01.png,1_002_1_02.png,1
6,1_002_1_03.png,1_002_1_04.png,1
7,1_002_1_05.png,1_002_2_06.png,1
8,1_002_2_07.png,1_002_2_08.png,1
9,1_002_2_09.png,1_002_2_10.png,1
10,1_003_1_01.png,1_003_1_02.png,1
11,1_003_1_03.png,1_003_1_04.png,1
12,1_003_2_06.png,1_003_2_07.png,1
13,1_003_2_08.png,1_003_2_09.png,1
14,1_003_2_10.png,1_004_1_01.png,0
15,1_004_1_02.png,1_004_1_03.png,1
16,1_004_1_04.png,1_004_1_05.png,1
17,1_004_2_06.png,1_004_2_07.png,1
18,1_004_2_08.png,1_005_1_01.png,0
19,1_005_1_02.png,1_005_1_03.png,1
20,1_005_1_04.png,1_005_1_05.png,1
21,1_005_2_06.png,1_005_2_07.png,1
22,1_005_2_08.png,1_005_2_09.png,1
23,1_005_2_10.png,1_006_1_01.png,0
25,1_006_1_04.png,1_006_1_05.png,1
26,1_006_2_06.png,1_006_2_07.png,1
27,1_006_2_08.png,1_006_2_09.png,1
28,1_006_2_10.png,1_007_1_01.png,0
29,1_007_1_02.png,1_007_1_03.png,1
30,1_007_1_04.png,1_007_1_05.png,1
31,1_007_2_06.png,1_007_2_07.png,1
32,1_007_2_08.png,1_007_2_09.png,1
33,1_007_2_10.png,1_008_1_01.png,0
35,1_008_1_04.png,1_008_1_05.png,1
36,1_008_2_06.png,1_008_2_07.png,1
37,1_008_2_08.png,1_008_2_09.png,1
38,1_008_2_10.png,1_009_1_01.png,0
40,1_009_1_04.png,1_009_1_05.png,1
41,1_009_2_06.png,1_009_2_07.png,1
42,1_009_2_08.png,1_009_2_09.png,1
43,1_009_2_10.png,1_010_1_01.png,0
44,1_010_1_02.png,1_010_1_03.png,1
45,1_010_1_04.png,1_010_1_05.png,1
46,1_010_2_06.png,1_010_2_07.png,1
47,1_010_2_08.png,1_010_2_09.png,1
48,1_010_2_10.png,1_011_1_01.png,0
49,1_011_1_02.png,1_011_1_03.png,1
50,1_011_1_04.png,1_011_2_06.png,1
51,1_011_2_07.png,1_011_2_08.png,1
52,1_011_2_09.png,1_011_2_10.png,1
53,1_012_1_01.png,1_012_1_02.png,1
54,1_012_1_03.png,1_012_1_04.png,1
55,1_012_1_05.png,1_012_2_06.png,1
56,1_012_2_07.png,1_012_2_08.png,1
57,1_012_2_09.png,1_012_2_10.png,1
58,1_013_1_01.png,1_013_1_02.png,1
59,1_013_1_03.png,1_013_1_04.png,1
60,1_013_1_05.png,1_013_2_06.png,1
61,1_013_2_07.png,1_013_2_08.png,1
62,1_013_2_09.png,1_013_2_10.png,1
63,1_014_1_01.png,1_014_1_02.png,1
64,1_014_1_03.png,1_014_1_04.png,1
65,1_014_1_05.png,1_014_2_06.png,1
66,1_014_2_07.png,1_014_2_08.png,1
67,1_014_2_09.png,1_015_1_01.png,0
68,1_015_1_02.png,1_015_1_03.png,1
69,1_015_1_04.png,1_015_2_06.png,1
70,1_015_2_07.png,1_015_2_08.png,1
71,1_015_2_09.png,1_015_2_10.png,1
72,1_016_1_01.png,1_016_1_02.png,1
73,1_016_1_03.png,1_016_1_04.png,1
74,1_016_1_05.png,1_016_2_06.png,1
76,1_017_1_03.png,1_017_1_04.png,1
77,1_017_1_05.png,1_017_2_06.png,1
78,1_017_2_07.png,1_017_2_08.png,1
79,1_017_2_09.png,1_017_2_10.png,1
80,1_018_1_01.png,1_018_1_02.png,1
81,1_018_1_03.png,1_018_1_04.png,1
82,1_018_1_05.png,1_018_2_06.png,1
83,1_018_2_07.png,1_018_2_08.png,1
84,1_018_2_09.png,1_018_2_10.png,1
85,1_019_1_01.png,1_019_1_02.png,1
86,1_019_1_03.png,1_019_1_04.png,1
89,1_019_2_09.png,1_019_2_10.png,1
90,1_020_1_01.png,1_020_1_02.png,1
91,1_020_1_03.png,1_020_1_04.png,1
92,1_020_1_05.png,1_020_2_06.png,1
93,1_020_2_07.png,1_020_2_08.png,1
94,1_020_2_09.png,1_020_2_10.png,1
95,1_021_1_01.png,1_021_1_02.png,1
96,1_021_1_03.png,1_021_1_04.png,1
99,1_021_2_09.png,1_021_2_10.png,1
100,1_022_1_01.png,1_022_1_02.png,1
101,1_022_1_03.png,1_022_1_04.png,1
104,1_022_2_10.png,1_023_1_01.png,0
105,1_023_1_02.png,1_023_1_03.png,1
107,1_023_2_06.png,1_023_2_07.png,1
108,1_023_2_08.png,1_023_2_09.png,1
111,1_024_2_08.png,1_024_2_09.png,1
112,1_024_2_10.png,1_025_1_01.png,0
